a1_0,a1_1,a1_2,a1_3,a2_0,a2_1,a3_0,a3_1,a3_2,a3_3,a3_4,a3_5,b1_0,b1_1,b1_2,b1_3,b2_0,b2_1,b2_2,b2_3,b2_4,b3_0,b3_1,b3_2,b3_3,b4_0,b4_1,b4_2,b4_3,c1_0,c1_1,c1_2,c1_3,c1_4,c1_5,c1_6,c1_7,c1_8,c1_9,c1_10,c1_11,c2_0,c2_1,c2_2,c2_3,c2_4,c2_5,c3_0,c3_1,c3_2,c4_0,c4_1,risk_index,risk_label
3,2,3,2,3,3,3,3,3,2,3,3,2,2,2,2,2,2,2,3,3,3,3,3,3,3,2,3,2,2,3,3,2,3,3,3,3,2,2,2,2,2,2,3,2,2,2,2,3,3,2,3,5.953863367129629,MODERATE
3,3,3,3,3,3,3,3,2,3,2,2,2,2,2,3,2,2,3,2,3,3,2,2,2,3,3,2,3,2,2,3,2,2,2,3,2,2,2,3,3,3,3,3,2,2,3,3,3,2,2,3,6.596680958271605,MODERATE
2,3,2,3,2,2,3,2,2,3,3,3,3,3,3,2,2,2,2,2,2,3,3,2,2,2,3,3,3,3,2,3,3,2,2,2,3,3,3,3,3,2,3,3,3,2,3,2,3,3,2,3,5.634795726944445,MODERATE
2,2,3,2,3,2,3,3,3,3,3,3,2,2,3,3,2,2,2,3,3,3,2,3,2,2,2,3,2,3,3,2,2,3,3,2,3,3,2,3,3,3,2,2,3,3,3,2,3,3,3,2,6.29953000925926,MODERATE
2,2,3,2,3,3,2,3,2,2,3,2,2,2,3,2,3,3,2,2,3,3,3,2,2,2,3,2,3,2,2,3,3,2,2,2,2,3,2,3,3,3,2,3,2,2,3,2,3,2,2,3,5.988300313773149,MODERATE
2,2,2,2,3,3,3,2,3,3,2,2,3,3,3,3,2,3,2,2,3,2,2,3,2,2,2,3,3,3,3,2,3,2,2,2,2,2,2,2,3,2,3,3,3,2,3,3,3,2,3,3,6.122259507777779,MODERATE
2,2,2,3,2,2,3,2,3,3,2,2,3,2,3,3,3,2,2,3,3,3,2,2,3,2,2,2,3,3,2,3,3,2,2,2,3,3,2,3,3,2,2,2,2,3,3,3,2,3,3,3,5.750541555308643,MODERATE
3,3,3,2,2,3,2,2,3,3,3,3,3,3,3,2,2,3,2,3,3,3,2,2,3,3,2,3,2,3,2,2,3,3,2,3,3,2,2,3,3,3,2,3,3,3,3,3,3,3,2,3,6.528648321759258,MODERATE
3,2,2,3,3,3,3,3,3,3,2,2,3,3,2,2,2,3,2,2,2,2,3,3,3,2,2,2,3,3,2,2,3,3,2,3,2,2,3,3,2,3,3,2,2,3,3,2,2,2,2,2,5.339185033472223,MODERATE
3,3,3,3,3,3,3,3,2,3,2,2,3,2,2,3,3,3,3,2,3,3,2,2,2,2,3,3,3,2,3,3,3,3,3,2,2,3,3,3,3,3,3,3,3,2,2,2,3,2,3,3,7.409553878518517,HIGH
2,2,3,2,3,2,3,2,3,3,2,3,3,3,2,2,3,3,3,3,3,2,2,3,2,3,2,3,3,3,3,2,2,2,3,2,3,2,2,2,3,2,3,2,3,2,2,3,3,2,3,3,6.184195119675926,MODERATE
3,2,2,3,3,2,2,3,3,2,3,2,3,2,3,2,2,3,3,3,3,2,2,3,2,3,3,3,2,2,2,3,2,3,2,3,3,3,3,2,2,3,2,3,2,3,2,2,2,2,2,2,5.217720602314815,MODERATE
2,2,2,3,2,3,2,2,3,2,2,3,2,3,3,3,3,2,3,3,2,2,2,3,3,2,2,2,3,3,2,3,3,3,2,2,3,2,3,2,2,2,3,3,3,3,3,3,3,3,3,2,5.834981274413581,MODERATE
2,2,2,3,2,3,2,3,3,2,2,3,3,3,3,2,3,2,3,3,3,2,3,2,3,2,2,3,3,3,2,3,3,3,3,3,3,3,3,2,2,3,2,3,2,2,3,3,3,3,3,2,6.1911828125,MODERATE
2,2,2,2,2,2,3,3,3,3,2,2,3,2,3,3,3,3,3,3,2,2,3,3,3,3,3,2,2,3,3,3,3,3,3,2,2,2,3,2,3,3,3,2,3,2,3,2,2,2,2,3,5.36197252888889,MODERATE
2,2,3,2,3,3,2,2,2,3,3,3,2,3,2,3,3,3,3,3,2,3,2,2,2,3,3,2,3,3,3,3,3,2,2,3,2,2,2,2,2,2,3,2,3,3,2,2,3,3,2,2,5.9601849415895085,MODERATE
2,2,3,2,2,2,3,3,3,2,3,2,2,3,2,3,2,2,3,3,2,2,2,2,3,2,2,3,2,2,3,3,2,2,3,3,2,2,2,3,3,3,3,2,3,3,2,3,2,3,3,2,4.973879074305555,MODERATE
3,2,2,2,3,2,2,2,3,2,2,2,2,2,2,2,3,3,3,3,2,3,3,3,3,3,3,2,3,2,3,3,2,2,3,2,3,3,2,2,3,3,3,2,2,2,2,3,3,2,2,3,5.723598533333335,MODERATE
2,2,3,2,2,2,2,2,3,2,3,2,3,2,2,3,3,2,2,2,2,2,3,2,2,2,2,3,2,2,2,2,2,3,2,2,2,3,3,2,2,2,3,3,2,3,2,3,3,2,2,2,4.4978511839120365,MODERATE
3,3,2,2,2,3,2,2,2,2,2,2,2,3,3,3,3,3,3,2,3,3,2,2,2,3,3,3,3,2,2,3,2,2,2,2,3,2,2,2,2,2,3,2,2,2,3,2,2,2,2,3,5.06709326,MODERATE
3,2,3,3,3,2,2,3,3,2,3,2,3,2,3,3,2,3,3,3,2,3,3,2,2,3,3,3,3,3,3,2,3,2,3,2,2,2,2,3,3,2,3,2,3,2,3,2,3,2,2,2,6.207505328194445,MODERATE
2,2,2,3,3,3,2,2,3,3,3,2,3,3,3,3,3,3,2,2,3,3,2,2,2,2,2,3,3,3,3,3,3,3,2,3,3,2,2,2,3,2,2,2,3,3,2,2,2,2,2,2,5.497546819429013,MODERATE
2,3,3,3,2,2,3,3,2,3,3,2,3,3,2,2,2,3,2,3,2,3,3,2,3,3,2,3,3,3,3,3,3,3,2,3,3,2,2,2,2,2,3,2,3,2,2,2,2,3,3,3,5.750947405,MODERATE
2,3,2,3,2,2,3,2,3,2,2,2,2,3,3,2,3,3,2,2,2,2,3,3,3,3,3,3,3,2,3,3,3,3,2,2,3,2,3,3,2,3,2,2,2,2,2,2,3,2,3,2,5.285907904012345,MODERATE
3,3,2,3,3,3,3,2,3,2,2,3,2,2,2,2,3,3,2,2,3,3,3,2,3,3,3,2,3,2,3,2,2,2,3,3,3,3,3,3,2,2,2,2,3,3,3,2,2,2,2,3,6.1112047418518545,MODERATE
2,2,3,3,3,2,3,2,2,2,3,3,2,3,2,3,2,2,3,3,3,3,2,2,2,2,3,2,2,3,3,2,2,2,2,3,3,2,3,2,2,3,3,2,3,3,2,3,3,3,2,2,5.613228950694445,MODERATE
3,3,3,3,3,3,2,3,2,3,3,3,3,3,3,2,3,2,3,3,3,2,3,3,2,3,2,3,3,3,3,3,2,3,3,2,3,2,2,3,3,2,2,3,2,3,2,2,2,3,2,3,6.708069556481481,MODERATE
2,3,2,2,3,3,3,2,3,2,2,3,2,3,3,3,2,3,3,2,3,3,3,2,2,3,2,2,3,3,2,2,2,2,2,3,2,2,2,3,3,2,3,3,3,2,3,3,2,2,2,3,5.858161409606483,MODERATE
2,3,2,3,3,2,2,2,3,3,3,3,3,3,2,3,3,2,2,2,3,3,2,3,2,3,3,3,3,2,3,3,3,3,2,2,2,3,3,3,2,3,2,3,3,3,2,3,2,3,2,2,6.265323958819444,MODERATE
2,3,2,2,3,3,3,2,3,2,2,2,3,3,3,2,3,2,3,2,2,2,2,3,3,2,2,2,2,2,2,3,2,3,2,3,2,2,3,2,3,2,3,2,2,2,3,2,3,3,2,3,5.296142634953704,MODERATE
3,2,2,2,3,2,2,2,2,2,2,2,3,2,3,2,3,2,3,2,3,3,3,2,2,2,3,3,3,3,3,3,3,3,3,2,2,3,3,2,2,2,2,3,2,2,3,2,3,2,3,2,5.646817840362655,MODERATE
2,2,3,3,3,3,3,2,2,2,3,3,3,3,2,2,2,3,3,2,2,3,3,2,2,2,2,3,3,3,2,3,2,3,2,2,3,3,3,2,2,2,3,2,2,3,3,3,2,2,3,3,6.004535585185184,MODERATE
3,3,3,3,2,3,2,3,2,2,3,3,3,2,2,3,2,2,2,2,3,2,3,3,2,3,2,3,2,2,3,3,3,3,3,2,3,2,2,3,2,3,2,3,3,2,3,2,3,3,3,2,5.909835866666665,MODERATE
3,2,2,3,2,3,2,2,3,2,3,2,2,3,2,2,2,3,2,2,2,3,2,3,2,2,2,3,3,2,2,2,3,2,2,3,3,3,2,2,2,2,2,3,2,2,3,3,2,3,3,3,5.182204834645061,MODERATE
2,3,3,2,3,3,3,3,3,2,2,3,3,3,3,3,3,3,3,2,2,2,3,2,3,3,3,2,2,2,2,2,3,3,2,3,3,2,2,3,2,3,3,3,3,3,2,2,2,3,2,3,6.47165386388889,MODERATE
2,2,3,2,2,2,2,3,3,2,2,3,2,3,3,2,2,3,3,3,3,2,2,2,2,2,3,2,3,2,2,3,3,3,3,2,2,2,2,3,2,3,2,2,3,2,2,2,2,3,3,2,4.863565297037038,MODERATE
2,3,2,2,3,2,3,2,3,2,3,3,3,3,2,2,2,2,3,2,2,2,2,3,3,2,3,2,2,3,3,2,3,2,2,3,2,3,3,3,3,3,2,2,3,3,3,2,2,3,2,2,4.944205020833334,MODERATE
2,2,3,3,3,3,3,2,2,3,3,3,3,3,3,3,2,2,2,3,2,3,3,3,2,3,2,3,2,3,3,3,3,3,3,3,3,2,2,2,2,3,2,3,3,3,2,3,2,2,3,3,6.754005578124999,MODERATE
3,3,2,3,3,2,3,3,2,3,3,2,2,2,2,2,3,2,3,3,2,2,2,3,2,2,2,3,2,2,2,2,3,2,3,3,3,3,3,2,3,2,2,3,2,2,2,3,2,2,2,3,5.197709876543211,MODERATE
2,3,2,3,2,3,3,3,3,2,2,2,3,2,3,3,2,2,2,3,3,2,2,3,3,3,2,2,3,3,2,2,3,3,2,3,2,3,3,3,2,3,2,2,3,2,3,3,3,2,3,3,6.101511403641977,MODERATE
2,2,2,3,3,3,3,2,3,3,3,2,3,3,3,3,2,3,3,3,3,2,2,2,3,3,3,2,3,3,2,3,2,3,2,2,3,3,2,3,2,2,3,2,2,2,2,2,3,2,3,3,6.551575042901234,MODERATE
3,3,3,2,3,2,2,2,2,2,3,2,2,3,3,3,3,2,2,3,2,3,2,2,3,2,2,3,3,3,2,3,3,2,2,3,2,3,2,3,3,3,2,2,2,2,2,2,3,2,2,3,5.761761810185186,MODERATE
3,3,2,3,3,2,2,2,3,3,2,2,2,3,3,2,2,2,3,2,3,3,3,3,3,2,3,2,2,2,2,3,3,3,3,2,3,3,2,3,3,3,3,3,3,3,3,3,3,2,3,2,6.667898116250001,MODERATE
3,3,3,2,2,3,3,3,3,3,3,2,2,2,2,2,2,2,2,3,2,3,2,3,3,2,2,3,3,3,3,3,2,3,2,3,2,3,2,2,2,2,2,3,3,2,3,2,3,3,3,3,6.085319771111111,MODERATE
2,2,3,2,3,2,2,3,2,2,2,2,3,2,2,2,3,3,2,2,2,2,3,2,2,2,3,3,2,3,2,3,2,2,2,2,2,2,2,2,2,3,3,2,3,3,3,2,2,2,2,3,4.8239227911111096,MODERATE
2,3,2,2,2,2,2,2,2,3,2,3,3,3,2,2,3,3,3,3,2,2,3,3,3,2,2,3,3,3,2,2,2,2,2,3,3,2,3,2,3,3,2,2,3,2,2,2,3,3,2,3,4.940910076574075,MODERATE
3,3,2,3,3,2,3,3,2,2,2,2,2,2,2,3,2,2,3,2,3,3,2,2,3,2,2,3,3,3,2,3,3,3,3,2,3,3,3,3,2,3,2,3,2,3,3,2,2,2,2,3,5.559326836805556,MODERATE
3,3,3,2,3,3,3,2,3,3,3,3,3,2,2,3,3,2,3,3,2,3,3,3,2,3,2,3,3,2,3,3,2,2,2,2,2,3,3,3,3,3,2,3,2,3,2,2,2,3,3,3,7.073317264351853,HIGH
2,3,2,3,2,3,2,2,3,2,3,2,2,3,3,3,2,2,2,2,2,2,3,3,3,3,3,2,2,2,3,3,2,2,2,2,2,2,3,3,2,3,2,2,3,3,2,2,3,2,2,2,4.9859486055555555,MODERATE
3,2,3,3,3,3,2,3,3,3,3,3,3,3,2,2,3,3,3,2,2,2,2,2,2,3,3,3,3,3,3,3,3,2,3,2,3,2,2,3,2,3,3,2,2,2,2,2,2,2,2,2,5.871643202222222,MODERATE
3,2,2,3,2,2,2,2,2,2,3,2,2,2,3,3,3,2,3,3,2,3,2,3,2,2,2,3,3,3,2,3,3,3,3,2,2,2,3,2,2,3,2,3,3,2,2,3,2,3,3,3,5.431543879004631,MODERATE
3,2,2,2,3,3,2,2,3,3,3,2,3,2,3,3,2,3,2,2,2,3,2,2,2,2,3,2,3,2,3,3,3,2,3,2,2,3,3,2,2,2,3,3,3,3,2,2,2,2,2,3,5.667047845925925,MODERATE
2,3,3,3,2,3,2,3,2,2,2,3,3,2,3,2,2,2,3,2,2,3,2,2,3,3,2,3,3,2,2,2,3,3,2,3,2,2,3,2,3,3,3,2,2,3,2,3,2,3,2,2,5.257602680555556,MODERATE
3,2,2,3,3,3,2,3,2,3,3,3,2,2,2,3,2,2,2,2,2,3,3,3,3,3,3,3,3,2,2,2,3,2,3,2,2,2,3,3,2,2,3,3,2,2,3,3,2,3,3,2,6.580727600486112,MODERATE
2,2,2,3,3,3,2,3,3,2,3,2,2,2,2,3,2,3,2,3,2,3,3,2,2,2,2,3,2,3,3,2,2,3,2,2,3,3,2,3,2,2,3,3,2,3,2,2,2,3,2,2,5.099852211188272,MODERATE
2,2,2,2,3,3,2,3,2,3,3,2,3,3,3,3,2,2,3,2,3,3,3,3,2,3,2,3,2,2,2,2,2,2,3,3,3,3,3,3,2,2,2,2,3,2,3,3,2,3,2,2,5.768545375462964,MODERATE
3,2,3,2,2,3,3,2,2,3,3,3,3,2,2,2,2,2,3,3,3,3,3,3,2,3,3,3,2,2,3,2,2,2,3,2,3,3,3,3,3,2,3,2,2,2,3,2,2,2,2,2,5.2520924892361105,MODERATE
2,3,2,3,3,3,3,3,2,3,2,3,2,2,3,3,3,2,3,2,2,3,3,3,3,2,2,2,2,3,3,3,3,3,2,2,3,3,2,2,2,2,3,3,3,3,3,3,2,2,2,3,6.346939910555555,MODERATE
3,3,2,2,2,3,3,2,3,3,2,2,2,2,2,2,2,3,2,3,3,3,3,3,2,3,3,3,3,3,2,2,2,3,2,3,2,3,3,2,2,2,2,2,2,2,3,2,3,2,3,2,5.5371565541358025,MODERATE
3,2,3,2,3,2,3,2,3,2,2,3,2,3,2,2,3,2,2,3,2,2,2,2,3,2,2,3,2,3,2,3,3,3,3,3,3,2,2,2,2,3,3,2,2,3,2,2,2,2,2,2,4.732687118055556,MODERATE
2,3,3,2,3,3,3,3,2,3,2,2,3,2,3,3,2,2,2,3,3,2,2,2,2,3,2,3,3,2,3,2,3,3,3,2,2,3,2,2,2,3,2,3,2,2,3,3,3,3,2,3,6.335626896666668,MODERATE
2,3,3,3,3,3,2,2,3,2,2,2,3,2,3,2,2,2,3,3,3,3,2,2,3,2,3,3,2,2,3,3,2,2,2,3,3,2,3,2,3,3,3,3,3,2,2,2,2,2,2,3,5.794717450594137,MODERATE
3,2,2,2,3,2,2,2,3,2,2,3,3,3,2,3,3,2,3,2,3,3,3,3,3,2,2,2,2,2,3,3,3,2,3,2,3,3,3,2,2,3,3,2,3,3,3,2,2,3,2,2,5.480708214429013,MODERATE
2,2,3,3,2,3,3,3,3,2,3,3,2,3,2,3,2,2,2,2,2,3,2,2,3,2,2,3,3,3,3,2,2,3,3,2,2,2,2,3,2,2,3,3,2,3,3,3,2,3,3,3,5.973053450000001,MODERATE
2,2,3,3,2,2,2,2,3,3,2,3,2,3,3,3,2,2,2,2,3,2,3,3,3,3,2,2,3,2,3,3,3,2,3,2,2,2,2,2,3,3,2,3,3,2,3,3,2,3,2,3,5.58898661527778,MODERATE
2,3,3,3,2,2,3,3,3,3,3,2,2,2,3,2,2,3,3,3,3,2,2,2,3,2,2,2,3,3,2,2,2,2,3,3,2,2,2,3,2,2,2,3,3,2,2,3,3,3,3,2,5.737347009722223,MODERATE
2,3,3,3,3,3,3,3,2,2,2,2,2,2,2,3,3,3,3,3,3,2,3,3,3,3,3,2,3,3,3,3,3,3,2,3,2,2,2,2,3,2,3,3,2,2,3,3,2,2,3,3,6.925605823888889,HIGH
3,3,2,2,2,2,2,3,3,2,3,3,3,2,2,3,2,2,2,2,2,3,2,2,2,2,3,2,2,2,3,2,3,2,3,3,2,3,3,2,3,3,3,2,2,3,2,3,3,2,3,2,5.194693138078704,MODERATE
2,3,2,2,2,2,3,3,3,3,2,2,2,3,3,3,3,2,2,2,2,2,2,3,3,2,2,2,2,2,3,2,2,2,2,2,3,2,2,3,3,3,2,2,3,2,2,2,2,3,2,2,4.503453182453706,MODERATE
2,2,2,2,3,3,2,2,3,3,2,3,3,2,3,2,3,3,2,2,2,2,3,2,3,2,3,2,2,3,3,3,3,3,3,2,3,3,2,2,3,2,2,2,2,2,2,2,3,2,3,3,5.7809909331944445,MODERATE
3,2,2,3,2,2,3,2,3,2,2,2,3,3,2,2,3,3,3,3,3,3,3,2,2,2,3,3,3,2,2,2,2,2,3,2,3,2,2,2,2,2,2,3,2,3,3,2,3,3,2,2,5.155420215231484,MODERATE
2,2,2,3,3,3,3,2,2,2,2,2,2,3,2,3,2,2,2,2,3,3,3,3,2,3,2,2,2,3,3,2,2,3,3,2,2,3,3,3,3,3,2,2,3,3,2,2,3,2,3,3,5.719663353518518,MODERATE
3,3,2,2,3,3,2,3,3,3,2,2,3,2,2,3,2,3,3,3,3,3,2,2,2,2,2,2,3,2,3,2,3,2,2,2,3,3,2,2,2,2,3,2,2,3,3,2,3,3,3,2,6.09447968888889,MODERATE
3,2,2,3,3,2,2,2,3,3,2,2,2,3,3,3,2,3,3,3,2,2,2,2,2,3,3,2,2,3,3,3,2,2,3,3,3,2,3,3,3,3,2,3,2,3,3,2,3,3,2,3,5.943217019259261,MODERATE
3,2,3,2,2,2,2,3,3,3,3,3,2,3,3,3,3,3,2,2,2,2,2,3,3,3,2,2,3,3,2,3,3,3,2,2,3,2,3,2,3,2,3,3,3,3,3,3,2,2,2,3,5.944229958333334,MODERATE
3,2,2,3,3,2,2,2,2,2,3,3,2,3,2,3,3,3,3,2,3,2,3,2,2,2,3,2,3,3,3,3,3,3,2,2,2,3,3,2,3,2,3,3,2,3,3,3,2,3,2,3,5.9115219166666675,MODERATE
2,2,2,3,2,2,3,3,2,3,2,2,3,3,2,2,2,2,3,3,2,3,2,3,2,3,3,2,2,2,3,3,2,2,3,3,3,2,3,3,2,2,3,3,3,3,2,2,2,2,3,2,4.939069512993826,MODERATE
2,3,3,3,2,3,3,3,3,2,2,2,2,2,3,3,3,2,2,3,3,2,3,3,3,2,3,2,3,2,3,2,2,3,3,2,2,3,3,3,3,2,3,2,2,2,3,3,3,3,3,2,6.6113982999999985,MODERATE
2,3,2,2,3,2,2,3,3,2,3,3,2,2,2,2,3,3,3,3,3,3,2,3,2,2,3,3,3,2,2,3,3,3,3,3,3,3,3,2,3,3,3,2,3,2,2,2,2,2,2,2,5.368845465941358,MODERATE
3,2,3,3,2,3,2,3,2,3,3,2,3,3,3,3,3,2,3,2,3,2,2,3,3,2,2,3,3,3,3,2,3,2,3,3,3,3,3,2,3,2,2,2,2,3,2,2,2,2,2,3,5.795515872932099,MODERATE
2,2,3,2,3,2,3,3,2,2,2,3,2,2,2,3,3,2,3,3,2,2,2,3,3,2,3,3,2,2,2,3,2,3,3,3,2,3,3,2,3,3,2,3,2,3,3,3,3,3,3,3,6.3428713144444435,MODERATE
2,3,3,2,3,3,3,3,3,3,2,2,3,2,3,3,3,2,3,3,3,3,2,2,3,2,2,2,3,2,2,3,2,2,2,3,2,3,3,3,3,3,3,3,2,2,2,2,2,2,2,3,6.35440574881173,MODERATE
2,2,2,2,3,2,3,3,2,2,2,3,3,3,3,2,2,3,2,3,2,2,3,2,3,2,2,2,2,2,3,3,2,3,2,2,3,2,3,3,2,3,2,3,2,2,2,2,2,2,3,2,4.821169917785496,MODERATE
3,2,3,2,3,2,3,2,2,3,2,2,3,3,3,2,2,2,2,3,2,2,3,2,2,2,3,3,2,3,2,2,2,3,3,3,3,3,2,3,2,2,3,3,2,3,2,2,2,2,2,3,5.23670156013889,MODERATE
3,3,2,2,2,2,3,3,3,2,3,3,3,2,2,2,3,3,3,2,3,3,3,3,2,3,3,3,3,2,2,2,3,2,3,3,3,2,3,3,2,3,2,3,3,2,2,2,3,2,2,3,5.739468615740741,MODERATE
3,2,2,2,2,3,3,2,3,3,3,3,3,3,2,2,2,2,3,3,3,2,3,2,3,3,3,2,3,2,3,2,2,2,3,2,3,3,3,3,2,3,3,2,2,3,3,3,3,2,3,2,6.105021668981481,MODERATE
3,2,2,3,2,3,3,2,2,3,3,3,3,2,2,2,3,3,3,3,3,2,3,2,2,3,3,2,3,3,2,3,3,2,2,3,3,3,2,2,2,3,3,3,3,2,3,3,2,2,3,3,6.226536949135804,MODERATE
2,3,2,3,2,2,3,3,3,3,2,3,3,3,2,3,3,2,2,3,2,2,3,2,3,2,3,2,2,2,3,2,3,2,2,3,2,2,3,2,3,2,3,3,2,3,3,3,3,3,2,3,5.844683991666666,MODERATE
3,2,3,2,3,3,3,3,2,3,3,3,3,3,2,2,3,2,3,2,2,2,2,2,2,3,2,3,2,2,2,2,2,3,2,2,2,2,3,3,2,2,3,3,2,3,2,2,2,3,2,2,5.294756604166667,MODERATE
2,3,2,3,2,2,3,3,2,2,3,2,3,3,2,3,3,2,3,3,3,3,2,2,2,3,2,3,3,2,3,2,3,3,3,2,2,3,3,2,2,3,2,3,3,2,2,3,3,2,3,3,5.954805847222223,MODERATE
3,3,3,2,2,2,3,2,3,2,2,3,2,2,2,3,3,3,3,2,2,2,3,3,2,2,3,3,2,2,3,3,2,3,3,2,2,3,3,3,3,2,2,2,2,3,2,2,3,3,2,3,5.254295758333334,MODERATE
3,2,3,3,3,2,2,2,3,2,3,3,2,2,2,2,2,2,3,2,3,3,2,2,3,3,2,2,3,3,2,3,3,2,3,3,2,2,2,2,3,2,3,2,3,2,3,3,2,3,2,3,5.66342989814815,MODERATE
2,2,3,3,3,3,3,2,2,2,3,2,2,2,3,3,3,2,2,3,3,2,2,3,3,3,3,2,3,2,3,2,2,3,2,3,3,3,2,3,2,3,3,2,2,3,2,3,2,2,2,3,6.176527954398148,MODERATE
2,2,3,3,3,2,3,3,2,2,2,2,2,2,2,2,3,3,3,2,3,2,3,2,3,3,2,2,3,2,3,2,3,3,3,3,2,2,2,2,2,2,3,3,3,3,3,3,2,2,2,2,5.391522675,MODERATE
2,2,2,2,3,2,3,3,3,3,2,2,3,3,3,3,3,2,2,3,2,2,3,2,3,2,2,2,2,3,3,2,3,2,3,2,2,3,3,2,3,2,2,3,3,3,3,2,3,3,3,2,6.041117250864199,MODERATE
3,3,3,3,3,3,2,3,3,2,3,3,3,3,3,3,2,3,2,2,3,2,3,2,2,2,2,2,2,2,3,3,3,2,3,3,3,3,3,2,3,2,3,3,3,2,3,3,3,3,3,2,7.009287205401234,HIGH
2,3,2,3,3,2,3,2,3,3,2,3,3,3,2,3,3,3,3,3,2,2,3,3,3,3,3,3,3,3,3,3,2,2,2,2,3,2,3,2,3,3,2,2,2,3,2,3,3,3,2,3,6.609201212268517,MODERATE
2,2,2,3,3,2,2,3,3,2,2,3,3,2,3,2,3,2,2,3,2,3,3,2,2,2,2,2,3,3,3,2,3,3,2,3,3,3,3,2,3,3,2,3,2,2,2,3,2,2,3,2,5.642611051820988,MODERATE
2,2,3,2,2,3,2,3,2,2,3,3,2,3,3,3,3,2,3,2,3,3,2,2,2,3,2,3,2,2,3,2,3,2,3,2,2,2,2,2,3,2,3,3,3,2,2,2,3,3,2,3,5.532218430555554,MODERATE
3,3,3,3,3,2,3,2,2,2,2,2,2,3,2,3,3,3,2,3,3,2,2,2,2,3,2,3,3,2,3,3,3,3,3,3,3,2,3,2,2,2,2,2,2,2,3,3,2,3,3,3,6.158828834074073,MODERATE
2,2,3,2,2,2,3,3,3,3,3,2,3,2,3,2,3,2,2,2,3,3,2,2,3,2,3,3,2,3,2,3,3,3,3,3,3,2,3,3,3,2,2,3,2,2,2,3,2,2,3,3,5.863777249243826,MODERATE
3,2,2,2,3,2,3,3,2,2,2,3,3,2,2,2,2,2,2,3,2,3,3,2,3,2,2,3,3,3,3,3,2,3,3,2,2,3,3,3,2,2,3,3,3,2,3,2,2,2,3,2,5.364776527476853,MODERATE
2,3,3,2,2,3,2,2,2,2,3,3,2,2,3,2,2,3,3,2,3,2,2,2,2,3,2,3,2,2,3,2,2,3,3,3,3,2,2,3,2,3,3,2,3,2,2,3,3,2,3,3,5.3110835555555544,MODERATE
3,2,3,2,3,2,3,2,3,2,2,2,3,2,3,2,2,2,3,3,2,2,3,3,3,2,2,3,3,2,2,2,2,2,2,2,2,3,2,3,3,2,2,2,2,3,3,3,2,3,2,3,5.395479175162037,MODERATE
2,3,2,3,2,2,3,3,2,3,3,3,2,3,3,3,2,3,3,2,2,2,2,2,2,3,3,3,2,3,3,3,3,2,2,3,3,2,2,3,2,3,3,3,2,3,2,2,3,3,3,3,5.854412416535494,MODERATE
2,3,2,2,2,2,3,2,3,2,3,3,2,2,3,2,2,3,3,2,2,2,2,3,3,3,2,2,3,3,3,3,2,2,3,2,2,3,3,3,2,3,3,2,2,2,2,3,3,3,3,3,5.342378444444443,MODERATE
2,2,3,2,3,3,3,2,2,2,2,3,3,2,2,2,2,2,2,2,2,3,2,3,2,2,2,2,3,3,2,3,2,2,3,2,3,2,2,2,2,3,3,3,2,3,3,2,3,2,2,3,5.180527878472222,MODERATE
2,2,2,2,3,3,2,3,2,2,2,3,2,3,2,2,2,3,3,3,3,3,2,3,2,3,2,2,3,2,3,2,3,3,2,2,3,3,2,2,2,2,3,3,3,2,2,3,2,3,3,3,5.736576708657408,MODERATE
3,3,2,3,3,3,2,3,3,2,3,3,2,3,3,3,3,2,3,3,3,3,3,3,2,3,3,2,2,2,2,3,3,2,3,2,2,3,2,2,2,3,3,3,2,2,2,2,2,2,2,3,6.468943966666667,MODERATE
2,2,3,3,2,3,2,2,3,3,2,3,2,2,3,2,3,2,2,3,2,2,2,3,3,2,2,2,3,2,3,2,2,3,3,3,2,3,3,3,3,2,3,3,2,3,2,2,2,2,3,2,5.380391426666668,MODERATE
3,2,3,3,2,2,2,3,3,2,3,2,3,2,2,2,2,2,3,3,3,2,3,3,3,2,2,2,3,3,2,2,3,2,3,2,2,3,2,3,3,2,2,2,2,2,2,2,2,3,3,3,5.247572241203704,MODERATE
3,3,2,2,3,2,2,2,2,3,2,2,2,2,3,3,3,2,2,2,3,2,3,2,2,2,3,2,2,2,2,2,3,3,3,2,2,3,2,2,3,2,2,2,2,3,2,3,2,2,3,2,5.270404079861112,MODERATE
2,2,2,3,2,3,3,2,2,3,2,3,2,3,3,3,2,2,2,2,3,2,2,3,3,3,3,3,2,3,3,2,3,2,3,2,2,2,3,2,3,3,3,2,3,3,2,3,2,3,2,3,5.486961411481483,MODERATE
3,3,2,3,3,3,3,2,2,3,2,2,2,2,3,3,2,2,2,3,2,3,2,2,2,3,2,3,3,3,3,3,3,3,3,3,2,2,3,3,3,3,3,2,2,3,3,2,2,3,3,2,6.1761732,MODERATE
3,2,3,3,3,2,2,3,2,3,2,2,2,2,3,2,3,2,2,2,3,2,3,2,3,2,3,2,2,2,3,3,3,3,3,3,3,2,3,3,2,2,2,3,2,3,3,3,2,3,2,2,5.850033482222221,MODERATE
3,2,2,2,2,3,3,3,3,2,2,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,2,3,2,2,2,3,2,3,3,2,2,3,3,3,3,2,2,2,2,3,3,3,3,4.885209072222222,MODERATE
